date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,winner
2015-10-08,Syria,Japan,0,3,FIFA World Cup qualification,Seeb,Oman,True,Japan
2015-10-08,Venezuela,Paraguay,0,1,FIFA World Cup qualification,Ciudad Guayana,Venezuela,False,Paraguay
2015-10-09,Algeria,Guinea,1,2,Friendly,Algiers,Algeria,False,Guinea
2015-10-09,Burkina Faso,Mali,1,4,Friendly,Troyes,France,True,Mali
2015-10-09,England,Estonia,2,0,UEFA Euro qualification,London,England,False,England
2015-10-09,Liechtenstein,Sweden,0,2,UEFA Euro qualification,Vaduz,Liechtenstein,False,Sweden
2015-10-09,North Macedonia,Ukraine,0,2,UEFA Euro qualification,Skopje,North Macedonia,False,Ukraine
2015-10-09,Moldova,Russia,1,2,UEFA Euro qualification,ChiÈinÄu,Moldova,False,Russia
2015-10-09,Montenegro,Austria,2,3,UEFA Euro qualification,Podgorica,Montenegro,False,Austria
2015-10-09,Morocco,Ivory Coast,0,1,Friendly,Agadir,Morocco,False,Ivory Coast
2015-10-09,Slovakia,Belarus,0,1,UEFA Euro qualification,Å½ilina,Slovakia,False,Belarus
2015-10-09,Spain,Luxembourg,4,0,UEFA Euro qualification,LogroÃ±o,Spain,False,Spain
2015-10-09,Switzerland,San Marino,7,0,UEFA Euro qualification,St. Gallen,Switzerland,False,Switzerland
2015-10-09,Tunisia,Gabon,3,3,Friendly,RadÃ¨s,Tunisia,False,TIE
2015-10-10,Andorra,Belgium,1,4,UEFA Euro qualification,Sant JuliÃ  de LÃ²ria,Andorra,False,Belgium
2015-10-10,Azerbaijan,Italy,1,3,UEFA Euro qualification,Baku,Azerbaijan,False,Italy
2015-10-10,Bosnia and Herzegovina,Wales,2,0,UEFA Euro qualification,Zenica,Bosnia and Herzegovina,False,Bosnia and Herzegovina
2015-10-10,Croatia,Bulgaria,3,0,UEFA Euro qualification,Zagreb,Croatia,False,Croatia
2015-10-10,Kazakhstan,Netherlands,1,2,UEFA Euro qualification,Astana,Kazakhstan,False,Netherlands
2015-10-10,Norway,Malta,2,0,UEFA Euro qualification,Oslo,Norway,False,Norway
2015-10-10,United States,Mexico,2,3,Friendly,Pasadena,United States,False,Mexico
2015-10-11,Denmark,France,1,2,Friendly,Copenhagen,Denmark,False,France
2015-10-11,Egypt,Zambia,3,0,Friendly,Abu Dhabi,United Arab Emirates,True,Egypt
2015-10-11,Faroe Islands,Romania,0,3,UEFA Euro qualification,TÃ³rshavn,Faroe Islands,False,Romania
2015-10-11,Germany,Georgia,2,1,UEFA Euro qualification,Leipzig,Germany,False,Germany
2015-10-11,Gibraltar,Scotland,0,6,UEFA Euro qualification,Faro,Portugal,True,Scotland
2015-10-11,Greece,Hungary,4,3,UEFA Euro qualification,Piraeus,Greece,False,Greece
2015-10-11,Nigeria,Cameroon,3,0,Friendly,Brussels,Belgium,True,Nigeria
2015-10-11,Poland,Republic of Ireland,2,1,UEFA Euro qualification,Warsaw,Poland,False,Poland
2015-10-11,Serbia,Portugal,1,2,UEFA Euro qualification,Belgrade,Serbia,False,Portugal
2015-10-12,Austria,Liechtenstein,3,0,UEFA Euro qualification,Vienna,Austria,False,Austria
2015-10-12,Estonia,Switzerland,0,1,UEFA Euro qualification,Tallinn,Estonia,False,Switzerland
2015-10-12,Lithuania,England,0,3,UEFA Euro qualification,Vilnius,Lithuania,False,England
2015-10-12,Luxembourg,Slovakia,2,4,UEFA Euro qualification,Luxembourg,Luxembourg,False,Slovakia
2015-10-12,Morocco,Guinea,1,1,Friendly,Agadir,Morocco,False,TIE
2015-10-12,Russia,Montenegro,2,0,UEFA Euro qualification,Moscow,Russia,False,Russia
2015-10-12,Sweden,Moldova,2,0,UEFA Euro qualification,Solna,Sweden,False,Sweden
2015-10-12,Ukraine,Spain,0,1,UEFA Euro qualification,Kyiv,Ukraine,False,Spain
2015-10-13,Algeria,Senegal,1,0,Friendly,Algiers,Algeria,False,Algeria
2015-10-13,Belgium,Israel,3,1,UEFA Euro qualification,Brussels,Belgium,False,Belgium
2015-10-13,Brazil,Venezuela,3,1,FIFA World Cup qualification,Fortaleza,Brazil,False,Brazil
2015-10-13,Ecuador,Bolivia,2,0,FIFA World Cup qualification,Quito,Ecuador,False,Ecuador
2015-10-13,Iran,Japan,1,1,Friendly,Tehran,Iran,False,TIE
2015-10-13,Italy,Norway,2,1,UEFA Euro qualification,Rome,Italy,False,Italy
2015-10-13,Malta,Croatia,0,1,UEFA Euro qualification,Attard,Malta,False,Croatia
2015-10-13,Netherlands,Czech Republic,2,3,UEFA Euro qualification,Amsterdam,Netherlands,False,Czech Republic
2015-10-13,Paraguay,Argentina,0,0,FIFA World Cup qualification,AsunciÃ³n,Paraguay,False,TIE
2015-10-13,Peru,Chile,3,4,FIFA World Cup qualification,Lima,Peru,False,Chile
2015-10-13,Uruguay,Colombia,3,0,FIFA World Cup qualification,Montevideo,Uruguay,False,Uruguay
2015-10-13,Wales,Andorra,2,0,UEFA Euro qualification,Cardiff,Wales,False,Wales
2015-10-17,Nigeria,Burkina Faso,2,0,African Nations Championship,Port Harcourt,Nigeria,False,Nigeria
2015-10-18,Cameroon,Congo,0,0,African Nations Championship,YaoundÃ©,Cameroon,False,TIE
2015-10-18,Mali,Mauritania,2,1,African Nations Championship,Bamako,Mali,False,Mali
2015-10-19,Tunisia,Libya,1,0,African Nations Championship,RadÃ¨s,Tunisia,False,Tunisia
2015-10-22,Libya,Morocco,0,4,African Nations Championship,RadÃ¨s,Tunisia,True,Morocco
2015-10-24,Mauritania,Mali,1,1,African Nations Championship,Nouakchott,Mauritania,False,TIE
2015-10-24,Senegal,Guinea,3,1,African Nations Championship,Dakar,Senegal,False,Senegal
2015-10-25,Burkina Faso,Nigeria,0,0,African Nations Championship,Ouagadougou,Burkina Faso,False,TIE
2015-10-25,Tunisia,Morocco,2,3,African Nations Championship,RadÃ¨s,Tunisia,False,Morocco
2015-10-31,Congo,Cameroon,0,1,African Nations Championship,Brazzaville,Congo,False,Cameroon
2015-11-12,Australia,Kyrgyzstan,3,0,FIFA World Cup qualification,Canberra,Australia,False,Australia
2015-11-12,Bolivia,Venezuela,4,2,FIFA World Cup qualification,La Paz,Bolivia,False,Bolivia
2015-11-12,Chile,Colombia,1,1,FIFA World Cup qualification,Santiago,Chile,False,TIE
2015-11-12,Ecuador,Uruguay,2,1,FIFA World Cup qualification,Quito,Ecuador,False,Ecuador
2015-11-12,Morocco,Equatorial Guinea,2,0,FIFA World Cup qualification,Agadir,Morocco,False,Morocco
2015-11-12,Norway,Hungary,0,1,UEFA Euro qualification,Oslo,Norway,False,Hungary
2015-11-12,Singapore,Japan,0,3,FIFA World Cup qualification,Kallang,Singapore,False,Japan
2015-11-13,Argentina,Brazil,1,1,FIFA World Cup qualification,Buenos Aires,Argentina,False,TIE
2015-11-13,Belgium,Italy,3,1,Friendly,Brussels,Belgium,False,Belgium
2015-11-13,Costa Rica,Haiti,1,0,FIFA World Cup qualification,San JosÃ©,Costa Rica,False,Costa Rica
2015-11-13,Czech Republic,Serbia,4,1,Friendly,Ostrava,Czech Republic,False,Czech Republic
2015-11-13,France,Germany,2,0,Friendly,Saint-Denis,France,False,France
2015-11-13,Madagascar,Senegal,2,2,FIFA World Cup qualification,Antananarivo,Madagascar,False,TIE
2015-11-13,Mauritania,Tunisia,1,2,FIFA World Cup qualification,Nouakchott,Mauritania,False,Tunisia
2015-11-13,Niger,Cameroon,0,3,FIFA World Cup qualification,Niamey,Niger,False,Cameroon
2015-11-13,Peru,Paraguay,1,0,FIFA World Cup qualification,Lima,Peru,False,Peru
2015-11-13,Poland,Iceland,4,2,Friendly,Warsaw,Poland,False,Poland
2015-11-13,Slovakia,Switzerland,3,2,Friendly,Trnava,Slovakia,False,Slovakia
2015-11-13,Spain,England,2,0,Friendly,Alicante,Spain,False,Spain
2015-11-13,Eswatini,Nigeria,0,0,FIFA World Cup qualification,Lobamba,Eswatini,False,TIE
2015-11-13,Wales,Netherlands,2,3,Friendly,Cardiff,Wales,False,Netherlands
2015-11-13,Canada,Honduras,1,0,FIFA World Cup qualification,Vancouver,Canada,False,Canada
2015-11-13,Jamaica,Panama,0,2,FIFA World Cup qualification,Kingston,Jamaica,False,Panama
2015-11-13,Mexico,El Salvador,3,0,FIFA World Cup qualification,Mexico City,Mexico,False,Mexico
2015-11-14,Botswana,Mali,2,1,FIFA World Cup qualification,Francistown,Botswana,False,Botswana
2015-11-14,Chad,Egypt,1,0,FIFA World Cup qualification,N'Djamena,Chad,False,Chad
2015-11-14,Russia,Portugal,1,0,Friendly,Krasnodar,Russia,False,Russia
2015-11-14,Sweden,Denmark,2,1,UEFA Euro qualification,Solna,Sweden,False,Sweden
2015-11-14,Tanzania,Algeria,2,2,FIFA World Cup qualification,Dar es Salaam,Tanzania,False,TIE
2015-11-14,Ukraine,Slovenia,2,0,UEFA Euro qualification,Lviv,Ukraine,False,Ukraine
2015-11-15,Equatorial Guinea,Morocco,1,0,FIFA World Cup qualification,Bata,Equatorial Guinea,False,Equatorial Guinea
2015-11-15,Hungary,Norway,2,1,UEFA Euro qualification,Budapest,Hungary,False,Hungary
2015-11-17,Algeria,Tanzania,7,0,FIFA World Cup qualification,Blida,Algeria,False,Algeria
2015-11-17,Austria,Switzerland,1,2,Friendly,Vienna,Austria,False,Switzerland
2015-11-17,Bangladesh,Australia,0,4,FIFA World Cup qualification,Dhaka,Bangladesh,False,Australia
2015-11-17,Brazil,Peru,3,0,FIFA World Cup qualification,Salvador,Brazil,False,Brazil
2015-11-17,Cambodia,Japan,0,2,FIFA World Cup qualification,Phnom Penh,Cambodia,False,Japan
2015-11-17,Cameroon,Niger,0,0,FIFA World Cup qualification,YaoundÃ©,Cameroon,False,TIE
2015-11-17,Colombia,Argentina,0,1,FIFA World Cup qualification,Barranquilla,Colombia,False,Argentina
2015-11-17,Denmark,Sweden,2,2,UEFA Euro qualification,Copenhagen,Denmark,False,TIE
2015-11-17,Egypt,Chad,4,0,FIFA World Cup qualification,Alexandria,Egypt,False,Egypt
2015-11-17,England,France,2,0,Friendly,London,England,False,England
2015-11-17,Honduras,Mexico,0,2,FIFA World Cup qualification,San Pedro Sula,Honduras,False,Mexico
2015-11-17,Italy,Romania,2,2,Friendly,Bologna,Italy,False,TIE
2015-11-17,Luxembourg,Portugal,0,2,Friendly,Luxembourg,Luxembourg,False,Portugal
2015-11-17,Mali,Botswana,2,0,FIFA World Cup qualification,Bamako,Mali,False,Mali
2015-11-17,Nigeria,Eswatini,2,0,FIFA World Cup qualification,Port Harcourt,Nigeria,False,Nigeria
2015-11-17,Poland,Czech Republic,3,1,Friendly,WrocÅaw,Poland,False,Poland
2015-11-17,Russia,Croatia,1,3,Friendly,Rostov-on-Don,Russia,False,Croatia
2015-11-17,Senegal,Madagascar,3,0,FIFA World Cup qualification,Dakar,Senegal,False,Senegal
2015-11-17,Slovakia,Iceland,3,1,Friendly,Å½ilina,Slovakia,False,Slovakia
2015-11-17,Slovenia,Ukraine,1,1,UEFA Euro qualification,Maribor,Slovenia,False,TIE
2015-11-17,Tunisia,Mauritania,2,1,FIFA World Cup qualification,RadÃ¨s,Tunisia,False,Tunisia
2015-11-17,Uruguay,Chile,3,0,FIFA World Cup qualification,Montevideo,Uruguay,False,Uruguay
2015-11-17,Venezuela,Ecuador,1,3,FIFA World Cup qualification,Ciudad Guayana,Venezuela,False,Ecuador
2015-11-17,Panama,Costa Rica,1,2,FIFA World Cup qualification,Panama City,Panama,False,Costa Rica
2016-01-06,Rwanda,Cameroon,1,1,Friendly,Gisenyi,Rwanda,False,TIE
2016-01-06,Sweden,Estonia,1,1,Friendly,Abu Dhabi,United Arab Emirates,True,TIE
2016-01-08,Panama,Cuba,4,0,Copa AmÃ©rica qualification,Panama City,Panama,False,Panama
2016-01-10,Sweden,Finland,3,0,Friendly,Abu Dhabi,United Arab Emirates,True,Sweden
2016-01-13,Uganda,Cameroon,0,0,Friendly,Njeru,Uganda,False,TIE
2016-01-16,Gabon,Morocco,0,0,African Nations Championship,Kigali,Rwanda,True,TIE
2016-01-17,Angola,Cameroon,0,1,African Nations Championship,Butare,Rwanda,True,Cameroon
2016-01-18,Nigeria,Niger,4,1,African Nations Championship,Kigali,Rwanda,True,Nigeria
2016-01-18,Tunisia,Guinea,2,2,African Nations Championship,Kigali,Rwanda,True,TIE
2016-01-19,Mali,Uganda,2,2,African Nations Championship,Gisenyi,Rwanda,True,TIE
2016-01-20,Morocco,Ivory Coast,0,1,African Nations Championship,Kigali,Rwanda,True,Ivory Coast
2016-01-21,Cameroon,Ethiopia,0,0,African Nations Championship,Butare,Rwanda,True,TIE
2016-01-22,Tunisia,Nigeria,1,1,African Nations Championship,Kigali,Rwanda,True,TIE
2016-01-23,Zimbabwe,Mali,0,1,African Nations Championship,Gisenyi,Rwanda,True,Mali
2016-01-24,Rwanda,Morocco,1,4,African Nations Championship,Kigali,Rwanda,False,Morocco
2016-01-25,Cameroon,DR Congo,3,1,African Nations Championship,Butare,Rwanda,True,Cameroon
2016-01-26,Guinea,Nigeria,1,0,African Nations Championship,Gisenyi,Rwanda,True,Guinea
2016-01-26,Niger,Tunisia,0,5,African Nations Championship,Kigali,Rwanda,True,Tunisia
2016-01-27,Egypt,Jordan,0,1,Friendly,Aswan,Egypt,False,Jordan
2016-01-27,Zambia,Mali,0,0,African Nations Championship,Kigali,Rwanda,True,TIE
2016-01-29,Egypt,Libya,2,0,Friendly,Aswan,Egypt,False,Egypt
2016-01-30,Cameroon,Ivory Coast,0,3,African Nations Championship,Butare,Rwanda,True,Ivory Coast
2016-01-31,Tunisia,Mali,1,2,African Nations Championship,Kigali,Rwanda,True,Mali
2016-02-04,Mali,Ivory Coast,1,0,African Nations Championship,Kigali,Rwanda,True,Mali
2016-02-07,DR Congo,Mali,3,0,African Nations Championship,Kigali,Rwanda,True,DR Congo
2016-02-27,Egypt,Burkina Faso,2,0,Friendly,Alexandria,Egypt,False,Egypt
2016-03-23,Croatia,Israel,2,0,Friendly,Osijek,Croatia,False,Croatia
2016-03-23,Poland,Serbia,1,0,Friendly,PoznaÅ,Poland,False,Poland
2016-03-23,Romania,Lithuania,1,0,Friendly,Giurgiu,Romania,False,Romania
2016-03-24,Australia,Tajikistan,7,0,FIFA World Cup qualification,Adelaide,Australia,False,Australia
2016-03-24,Bolivia,Colombia,2,3,FIFA World Cup qualification,La Paz,Bolivia,False,Colombia
2016-03-24,Chile,Argentina,1,2,FIFA World Cup qualification,Santiago,Chile,False,Argentina
2016-03-24,Czech Republic,Scotland,0,1,Friendly,Prague,Czech Republic,False,Scotland
2016-03-24,Denmark,Iceland,2,1,Friendly,Herning,Denmark,False,Denmark
2016-03-24,Ecuador,Paraguay,2,2,FIFA World Cup qualification,Quito,Ecuador,False,TIE
2016-03-24,Estonia,Norway,0,0,Friendly,Tallinn,Estonia,False,TIE
2016-03-24,Italy,Spain,1,1,Friendly,Udine,Italy,False,TIE
2016-03-24,Japan,Afghanistan,5,0,FIFA World Cup qualification,Saitama,Japan,False,Japan
2016-03-24,Peru,Venezuela,2,2,FIFA World Cup qualification,Lima,Peru,False,TIE
2016-03-24,Turkey,Sweden,2,1,Friendly,Antalya,Turkey,False,Turkey
2016-03-24,Ukraine,Cyprus,1,0,Friendly,Odessa,Ukraine,False,Ukraine
2016-03-24,Wales,Northern Ireland,1,1,Friendly,Cardiff,Wales,False,TIE
2016-03-25,Algeria,Ethiopia,7,1,African Cup of Nations qualification,Blida,Algeria,False,Algeria
2016-03-25,Brazil,Uruguay,2,2,FIFA World Cup qualification,Recife,Brazil,False,TIE
2016-03-25,Canada,Mexico,0,3,FIFA World Cup qualification,Vancouver,Canada,False,Mexico
2016-03-25,Haiti,Panama,0,0,FIFA World Cup qualification,Port-au-Prince,Haiti,False,TIE
2016-03-25,Republic of Ireland,Switzerland,1,0,Friendly,Dublin,Republic of Ireland,False,Republic of Ireland
2016-03-25,Jamaica,Costa Rica,1,1,FIFA World Cup qualification,Kingston,Jamaica,False,TIE
2016-03-25,Mali,Equatorial Guinea,1,0,African Cup of Nations qualification,Bamako,Mali,False,Mali
2016-03-25,Netherlands,France,2,3,Friendly,Amsterdam,Netherlands,False,France
2016-03-25,Nigeria,Egypt,1,1,African Cup of Nations qualification,Kaduna,Nigeria,False,TIE
2016-03-25,Portugal,Bulgaria,0,1,Friendly,Leiria,Portugal,False,Bulgaria
2016-03-25,Slovakia,Latvia,0,0,Friendly,Trnava,Slovakia,False,TIE
2016-03-25,Tunisia,Togo,1,0,African Cup of Nations qualification,Monastir,Tunisia,False,Tunisia
2016-03-26,Austria,Albania,2,1,Friendly,Vienna,Austria,False,Austria
2016-03-26,Cameroon,South Africa,2,2,African Cup of Nations qualification,LimbÃ©,Cameroon,False,TIE
2016-03-26,Cape Verde,Morocco,0,1,African Cup of Nations qualification,Praia,Cape Verde,False,Morocco
2016-03-26,Germany,England,2,3,Friendly,Berlin,Germany,False,England
2016-03-26,Hungary,Croatia,1,1,Friendly,Budapest,Hungary,False,TIE
2016-03-26,Poland,Finland,5,0,Friendly,WrocÅaw,Poland,False,Poland
2016-03-26,Russia,Lithuania,3,0,Friendly,Moscow,Russia,False,Russia
2016-03-26,Senegal,Niger,2,0,African Cup of Nations qualification,Dakar,Senegal,False,Senegal
2016-03-27,Romania,Spain,0,0,Friendly,Cluj,Romania,False,TIE
2016-03-28,Equatorial Guinea,Mali,0,1,African Cup of Nations qualification,Malabo,Equatorial Guinea,False,Mali
2016-03-28,Ukraine,Wales,1,0,Friendly,Kyiv,Ukraine,False,Ukraine
2016-03-29,Argentina,Bolivia,2,0,FIFA World Cup qualification,CÃ³rdoba,Argentina,False,Argentina
2016-03-29,Australia,Jordan,5,1,FIFA World Cup qualification,Sydney,Australia,False,Australia
2016-03-29,Austria,Turkey,1,2,Friendly,Vienna,Austria,False,Turkey
2016-03-29,Colombia,Ecuador,3,1,FIFA World Cup qualification,Barranquilla,Colombia,False,Colombia
2016-03-29,Costa Rica,Jamaica,3,0,FIFA World Cup qualification,San JosÃ©,Costa Rica,False,Costa Rica
2016-03-29,Egypt,Nigeria,1,0,African Cup of Nations qualification,Alexandria,Egypt,False,Egypt
2016-03-29,England,Netherlands,1,2,Friendly,London,England,False,Netherlands
2016-03-29,Estonia,Serbia,0,1,Friendly,Tallinn,Estonia,False,Serbia
2016-03-29,Ethiopia,Algeria,3,3,African Cup of Nations qualification,Addis Ababa,Ethiopia,False,TIE
2016-03-29,France,Russia,4,2,Friendly,Saint-Denis,France,False,France
2016-03-29,Germany,Italy,4,1,Friendly,Munich,Germany,False,Germany
2016-03-29,Republic of Ireland,Slovakia,2,2,Friendly,Dublin,Republic of Ireland,False,TIE
2016-03-29,Japan,Syria,5,0,FIFA World Cup qualification,Saitama,Japan,False,Japan
2016-03-29,Mexico,Canada,2,0,FIFA World Cup qualification,Mexico City,Mexico,False,Mexico
2016-03-29,Morocco,Cape Verde,2,0,African Cup of Nations qualification,Marrakech,Morocco,False,Morocco
2016-03-29,Niger,Senegal,1,2,African Cup of Nations qualification,Niamey,Niger,False,Senegal
2016-03-29,Norway,Finland,2,0,Friendly,Oslo,Norway,False,Norway
2016-03-29,Panama,Haiti,1,0,FIFA World Cup qualification,Panama City,Panama,False,Panama
2016-03-29,Paraguay,Brazil,2,2,FIFA World Cup qualification,AsunciÃ³n,Paraguay,False,TIE
2016-03-29,Portugal,Belgium,2,1,Friendly,Leiria,Portugal,False,Portugal
2016-03-29,Scotland,Denmark,1,0,Friendly,Glasgow,Scotland,False,Scotland
2016-03-29,South Africa,Cameroon,0,0,African Cup of Nations qualification,Durban,South Africa,False,TIE
2016-03-29,Sweden,Czech Republic,1,1,Friendly,Solna,Sweden,False,TIE
2016-03-29,Switzerland,Bosnia and Herzegovina,0,2,Friendly,ZÃ¼rich,Switzerland,False,Bosnia and Herzegovina
2016-03-29,Togo,Tunisia,0,0,African Cup of Nations qualification,LomÃ©,Togo,False,TIE
2016-03-29,Uruguay,Peru,1,0,FIFA World Cup qualification,Montevideo,Uruguay,False,Uruguay
2016-03-29,Venezuela,Chile,1,4,FIFA World Cup qualification,Barinas,Venezuela,False,Chile
2016-04-27,Martinique,Panama,0,2,Friendly,Fort-de-France,Martinique,False,Panama
2016-05-20,Hungary,Ivory Coast,0,0,Friendly,Budapest,Hungary,False,TIE
2016-05-20,Galicia,Venezuela,1,1,Friendly,La CoruÃ±a,Spain,False,TIE
2016-05-22,England,Turkey,2,1,Friendly,Manchester,England,False,England
2016-05-25,Romania,DR Congo,1,1,Friendly,Como,Italy,True,TIE
2016-05-25,Serbia,Cyprus,2,1,Friendly,UÅ¾ice,Serbia,False,Serbia
2016-05-27,Croatia,Moldova,1,0,Friendly,Koprivnica,Croatia,False,Croatia
2016-05-27,England,Australia,2,1,Friendly,Sunderland,England,False,England
2016-05-27,Republic of Ireland,Netherlands,1,1,Friendly,Dublin,Republic of Ireland,False,TIE
2016-05-27,Morocco,Congo,2,0,Friendly,Tangier,Morocco,False,Morocco
2016-05-27,Nigeria,Mali,1,0,Friendly,Le Petit-Quevilly,France,True,Nigeria
2016-05-27,Slovakia,Georgia,3,1,Friendly,Wels,Austria,True,Slovakia
2016-05-28,Costa Rica,Venezuela,2,1,Friendly,San JosÃ©,Costa Rica,False,Costa Rica
2016-05-28,El Salvador,Peru,1,3,Friendly,Seattle,United States,True,Peru
2016-05-28,Mexico,Paraguay,1,0,Friendly,Atlanta,United States,True,Mexico
2016-05-28,Rwanda,Senegal,0,2,Friendly,Kigali,Rwanda,False,Senegal
2016-05-28,Switzerland,Belgium,1,2,Friendly,Geneva,Switzerland,False,Belgium
2016-05-29,Bosnia and Herzegovina,Spain,1,3,Friendly,St. Gallen,Switzerland,True,Spain
2016-05-29,Germany,Slovakia,1,3,Friendly,Augsburg,Germany,False,Slovakia
2016-05-29,Italy,Scotland,1,0,Friendly,Attard,Malta,True,Italy
2016-05-29,Portugal,Norway,3,0,Friendly,Porto,Portugal,False,Portugal
2016-05-29,Romania,Ukraine,3,4,Friendly,Turin,Italy,True,Ukraine
2016-05-30,France,Cameroon,3,2,Friendly,Nantes,France,False,France
2016-05-30,Sweden,Slovenia,0,0,Friendly,MalmÃ¶,Sweden,False,TIE
2016-05-31,Austria,Malta,2,1,Friendly,Klagenfurt,Austria,False,Austria
2016-05-31,Luxembourg,Nigeria,1,3,Friendly,Luxembourg,Luxembourg,False,Nigeria
2016-05-31,Serbia,Israel,3,1,Friendly,Novi Sad,Serbia,False,Serbia
2016-06-01,Belgium,Finland,1,1,Friendly,Brussels,Belgium,False,TIE
2016-06-01,Czech Republic,Russia,2,1,Friendly,Innsbruck,Austria,True,Czech Republic
2016-06-01,Norway,Iceland,3,2,Friendly,Oslo,Norway,False,Norway
2016-06-01,Poland,Netherlands,1,2,Friendly,GdaÅsk,Poland,False,Netherlands
2016-06-01,Spain,South Korea,6,1,Friendly,Salzburg,Austria,True,Spain
2016-06-02,England,Portugal,1,0,Friendly,London,England,False,England
2016-06-02,Seychelles,Algeria,0,2,African Cup of Nations qualification,Victoria,Seychelles,False,Algeria
2016-06-03,Albania,Ukraine,1,3,Friendly,Bergamo,Italy,True,Ukraine
2016-06-03,Azerbaijan,Canada,1,1,Friendly,Rohrbach an der Lafnitz,Austria,True,TIE
2016-06-03,Bosnia and Herzegovina,Denmark,2,2,Kirin Cup,Toyota,Japan,True,Bosnia and Herzegovina
2016-06-03,Djibouti,Tunisia,0,3,African Cup of Nations qualification,Djibouti,Djibouti,False,Tunisia
2016-06-03,Japan,Bulgaria,7,2,Kirin Cup,Toyota,Japan,False,Japan
2016-06-03,Libya,Morocco,1,1,African Cup of Nations qualification,RadÃ¨s,Tunisia,True,TIE
2016-06-03,Mauritania,Cameroon,0,1,African Cup of Nations qualification,Nouakchott,Mauritania,False,Cameroon
2016-06-03,Romania,Georgia,5,1,Friendly,Bucharest,Romania,False,Romania
2016-06-03,Switzerland,Moldova,2,1,Friendly,Lugano,Switzerland,False,Switzerland
2016-06-03,United States,Colombia,0,2,Copa AmÃ©rica,Santa Clara,United States,False,Colombia
2016-06-04,Australia,Greece,1,0,Friendly,Sydney,Australia,False,Australia
2016-06-04,Austria,Netherlands,0,2,Friendly,Vienna,Austria,False,Netherlands
2016-06-04,Brazil,Ecuador,0,0,Copa AmÃ©rica,Pasadena,United States,True,TIE
2016-06-04,Costa Rica,Paraguay,0,0,Copa AmÃ©rica,Orlando,United States,True,TIE
2016-06-04,Croatia,San Marino,10,0,Friendly,Rijeka,Croatia,False,Croatia
2016-06-04,France,Scotland,3,0,Friendly,Metz,France,False,France
2016-06-04,Germany,Hungary,2,0,Friendly,Gelsenkirchen,Germany,False,Germany
2016-06-04,Haiti,Peru,0,1,Copa AmÃ©rica,Seattle,United States,True,Peru
2016-06-04,Slovakia,Northern Ireland,0,0,Friendly,Trnava,Slovakia,False,TIE
2016-06-04,South Sudan,Mali,0,3,African Cup of Nations qualification,Juba,South Sudan,False,Mali
2016-06-04,Tanzania,Egypt,0,2,African Cup of Nations qualification,Dar es Salaam,Tanzania,False,Egypt
2016-06-05,Belgium,Norway,3,2,Friendly,Brussels,Belgium,False,Belgium
2016-06-05,Jamaica,Venezuela,0,1,Copa AmÃ©rica,Chicago,United States,True,Venezuela
2016-06-05,Mexico,Uruguay,3,1,Copa AmÃ©rica,Glendale,United States,True,Mexico
2016-06-05,Russia,Serbia,1,1,Friendly,Monaco,Monaco,True,TIE
2016-06-05,Sweden,Wales,3,0,Friendly,Solna,Sweden,False,Sweden
2016-06-06,Argentina,Chile,2,1,Copa AmÃ©rica,Santa Clara,United States,True,Argentina
2016-06-06,Italy,Finland,2,0,Friendly,Verona,Italy,False,Italy
2016-06-06,Panama,Bolivia,2,1,Copa AmÃ©rica,Orlando,United States,True,Panama
2016-06-06,Poland,Lithuania,0,0,Friendly,KrakÃ³w,Poland,False,TIE
2016-06-07,Australia,Greece,1,2,Friendly,Melbourne,Australia,False,Greece
2016-06-07,Bulgaria,Denmark,0,4,Kirin Cup,Suita,Japan,True,Denmark
2016-06-07,Canada,Uzbekistan,2,1,Friendly,Bad Waltersdorf,Austria,True,Canada
2016-06-07,Colombia,Paraguay,2,1,Copa AmÃ©rica,Pasadena,United States,True,Colombia
2016-06-07,Japan,Bosnia and Herzegovina,1,2,Kirin Cup,Suita,Japan,False,Bosnia and Herzegovina
2016-06-07,Spain,Georgia,0,1,Friendly,Getafe,Spain,False,Georgia
2016-06-07,United States,Costa Rica,4,0,Copa AmÃ©rica,Chicago,United States,False,United States
2016-06-08,Brazil,Haiti,7,1,Copa AmÃ©rica,Orlando,United States,True,Brazil
2016-06-08,Ecuador,Peru,2,2,Copa AmÃ©rica,Glendale,United States,True,TIE
2016-06-08,Portugal,Estonia,7,0,Friendly,Lisbon,Portugal,False,Portugal
2016-06-09,Mexico,Jamaica,2,0,Copa AmÃ©rica,Pasadena,United States,True,Mexico
2016-06-09,Uruguay,Venezuela,0,1,Copa AmÃ©rica,Philadelphia,United States,True,Venezuela
2016-06-10,Argentina,Panama,5,0,Copa AmÃ©rica,Chicago,United States,True,Argentina
2016-06-10,Chile,Bolivia,2,1,Copa AmÃ©rica,Foxborough,United States,True,Chile
2016-06-10,France,Romania,2,1,UEFA Euro,Saint-Denis,France,False,France
2016-06-11,Albania,Switzerland,0,1,UEFA Euro,Lens,France,True,Switzerland
2016-06-11,Colombia,Costa Rica,2,3,Copa AmÃ©rica,Houston,United States,True,Costa Rica
2016-06-11,England,Russia,1,1,UEFA Euro,Marseille,France,True,TIE
2016-06-11,Wales,Slovakia,2,1,UEFA Euro,Bordeaux,France,True,Wales
2016-06-12,Brazil,Peru,0,1,Copa AmÃ©rica,Foxborough,United States,True,Peru
